year,school,winpct,wontitle,rank,top15,top5
2006,Northwestern,0.333333333333333,0,1000,0,0
2006,Ohio State,0.923076923076923,0,2,1,1
2006,Penn State,0.692307692307692,0,24,0,0
2006,Purdue,0.571428571428571,0,1000,0,0
2006,Wisconsin,0.923076923076923,0,7,1,0
2006,Baylor,0.333333333333333,0,1000,0,0
2006,Iowa State,0.333333333333333,0,1000,0,0
2006,Kansas,0.5,0,1000,0,0
2006,Kansas State,0.538461538461538,0,1000,0,0
2006,Oklahoma,0.785714285714285,0,11,1,0
2006,Oklahoma State,0.538461538461538,0,1000,0,0
2006,TCU,0.846153846153846,0,22,0,0
2006,Texas,0.769230769230769,0,13,1,0
2006,Texas Tech,0.615384615384615,0,1000,0,0
2006,West Virginia,0.846153846153846,0,10,1,0
2006,Arizona,0.5,0,1000,0,0
2006,Arizona State,0.538461538461538,0,1000,0,0
2006,California,0.769230769230769,0,14,1,0
2006,UCLA,0.538461538461538,0,1000,0,0
2006,Colorado,0.166666666666666,0,1000,0,0
2006,Oregon,0.538461538461538,0,1000,0,0
2006,Oregon State,0.714285714285714,0,21,0,0
2006,USC,0.846153846153846,0,4,1,1
2006,Stanford,0.0833333333333333,0,1000,0,0
2006,Utah,0.615384615384615,0,1000,0,0
2006,Washington,0.416666666666666,0,1000,0,0
2006,Washington State,0.5,0,1000,0,0
2006,Alabama,0.461538461538461,0,1000,0,0
2006,Arkansas,0.714285714285714,0,15,1,0
2006,Auburn,0.846153846153846,0,9,1,0
2006,Florida,0.928571428571428,1,1,1,1
2006,Georgia,0.692307692307692,0,23,0,0
2006,Kentucky,0.615384615384615,0,1000,0,0
2006,LSU,0.846153846153846,0,3,1,1
2006,Ole Miss,0.333333333333333,0,1000,0,0
2006,Mississippi State,0.25,0,1000,0,0
2006,Missouri,0.615384615384615,0,1000,0,0
2006,South Carolina,0.615384615384615,0,1000,0,0
2006,Tennessee,0.692307692307692,0,25,0,0
2006,Texas A&M,0.692307692307692,0,1000,0,0
2006,Vanderbilt,0.333333333333333,0,1000,0,0
2007,Boston College,0.785714285714285,0,11,1,0
2007,Clemson,0.692307692307692,0,21,0,0
2007,Duke,0.0833333333333333,0,1000,0,0
2007,Florida State,0.538461538461538,0,1000,0,0
2007,Georgia Tech,0.538461538461538,0,1000,0,0
2007,Miami,0.416666666666666,0,1000,0,0
2007,North Carolina,0.333333333333333,0,1000,0,0
2007,NC State,0.416666666666666,0,1000,0,0
