unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
174066,University of Minnesota-Twin Cities,2003,Minnesota,0.76,0.4,17180,13059,5186,NA,28
176017,University of Mississippi,2003,Mississippi,0.67,0.44,7603,5114,2257,NA,26
176080,Mississippi State University,2003,Mississippi,0.75,0.48,4646,3493,1688,NA,27
178396,University of Missouri-Columbia,2003,Missouri,0.81,0.49,11677,9443,4669,NA,28
181464,University of Nebraska-Lincoln,2003,Nebraska,0.78,0.61,7631,5974,3653,650,27
186380,Rutgers University-New Brunswick,2003,New Jersey,0.54,0.31,27311,14857,4679,650,NA
196413,Syracuse University,2003,New York,0.62,0.3,14144,8718,2650,660,NA
198419,Duke University,2003,North Carolina,0.23,0.43,16315,3778,1619,760,34
199120,University of North Carolina at Chapel Hill,2003,North Carolina,0.35,0.57,17141,6073,3460,685,NA
199193,North Carolina State University at Raleigh,2003,North Carolina,0.59,0.51,12293,7310,3732,650,NA
199847,Wake Forest University,2003,North Carolina,0.45,0.39,5752,2599,1007,695,NA
204796,Ohio State University-Main Campus,2003,Ohio,0.72,0.44,20122,14494,6390,645,28
207388,Oklahoma State University-Main Campus,2003,Oklahoma,0.89,0.59,6706,5952,3484,605,26
207500,University of Oklahoma-Norman Campus,2003,Oklahoma,0.82,0.57,8140,6638,3808,NA,28
209542,Oregon State University,2003,Oregon,0.75,0.7,5811,4379,3058,595,26
209551,University of Oregon,2003,Oregon,0.86,0.39,9889,8479,3317,610,NA
214777,Pennsylvania State University-Main Campus,2003,Pennsylvania,0.57,0.38,27604,15628,5929,650,NA
215293,University of Pittsburgh-Pittsburgh Campus,2003,Pennsylvania,0.55,0.36,15888,8703,3112,645,29
217882,Clemson University,2003,South Carolina,0.61,0.4,11419,6945,2769,645,29
218663,University of South Carolina-Columbia,2003,South Carolina,0.7,0.42,12016,8446,3561,615,26
221759,The University of Tennessee-Knoxville,2003,Tennessee,0.71,0.53,9514,6790,3579,615,26
221999,Vanderbilt University,2003,Tennessee,0.46,0.35,9836,4550,1579,710,31
223232,Baylor University,2003,Texas,0.82,0.36,8931,7341,2678,625,27
228723,Texas A & M University-College Station,2003,Texas,0.67,0.57,17250,11639,6675,650,28
228778,The University of Texas at Austin,2003,Texas,0.47,0.57,24519,11504,6544,675,NA
